Gene,Neuron,TPM,Proportion of Cells,Neuron Functional Group
ZK507.3,HSN,34.98803085,6.451612903,Motor
srh-245,HSN,34.12764325,3.94265233,Motor
lgc-8,I1,2499.996671,57.57575758,Pharyngeal
lgc-5,I1,1226.672613,31.31313131,Pharyngeal
W02A2.5,I3,3135.835599,80,Pharyngeal
pha-2,I4,392.3462393,24.27745665,Pharyngeal
Y69E1A.1,I5,248.3072514,21.44249513,Pharyngeal
ZC449.2,I6,1255.202867,38.70967742,Pharyngeal
F53F4.2,I6,719.6539905,25.80645161,Pharyngeal
srbc-16,I6,87.7679867,4.838709677,Pharyngeal
C52G5.3,IL1,2430.697643,36.20689655,Sensory
egas-1,IL2_DV,1185.087483,54.82142857,Sensory
Y57G11C.44,IL2_LR,8615.397822,88.23529412,Sensory
egas-4,IL2_LR,1537.818303,69.41176471,Sensory
K09C4.5,IL2_LR,142.3682328,22.94117647,Sensory
otpl-4,IL2_LR,29.77020767,6.176470588,Sensory
E03H4.5,IL2_LR,11.39594701,2.352941176,Sensory
C39H7.2,LUA,2011.692794,46.75324675,Interneuron
F20G2.5,M1,263.9815052,28.30188679,Pharyngeal
K09H11.9,M1,119.5416564,12.26415094,Pharyngeal
col-75,M2,102.6485365,5.53633218,Pharyngeal
kbp-4,M4,30.29201502,8.333333333,Pharyngeal
K09H11.11,M4,30.29201502,8.333333333,Pharyngeal
clec-166,M5,346.824052,16.58031088,Pharyngeal
M176.9,M5,51.32103178,4.404145078,Pharyngeal
ocr-4,OLQ,3325.244303,45.88235294,Sensory
ccpp-6,OLQ,2236.028964,41.17647059,Sensory
ttll-9,OLQ,856.9384251,21.17647059,Sensory
K09E2.2,OLQ,540.5509869,17.64705882,Sensory
gst-42,PDA,635.989698,47.61904762,Motor
T27E9.6,PDA,31.10500411,4.761904762,Motor
lat-2,PDB,59.8676824,11.86440678,Motor
T09E8.4,PHB,711.0688019,36.84210526,Sensory
irld-42,PHB,418.6979181,25,Sensory
M28.2,PHC,96.04380821,4.375,Sensory
F10A3.11,PLM,117.5577045,20,Sensory
C36C9.12,PLM,77.74966895,8.266666667,Sensory
T05B11.4,PQR,288.6883887,20,Sensory
F31A9.2,PVD,3425.123818,29.03225806,Sensory
papl-1,PVM,887.4422882,66.66666667,Sensory
srb-5,PVM,715.1427063,63.49206349,Sensory
dhs-31,PVM,201.9886085,25.3968254,Sensory
K09C8.2,PVM,142.8551403,25.3968254,Sensory
srj-7,PVQ,97.95227121,14.68144044,Interneuron
F53B2.10,PVQ,41.76442823,8.864265928,Interneuron
nas-20,PVR,363.8348469,29.16666667,Interneuron
F22B8.2,PVR,227.2927484,23.61111111,Interneuron
nep-17,PVR,138.5908903,16.66666667,Interneuron
pal-1,PVT,150.3925987,31.81818182,Interneuron
ssp-10,PVT,79.12291474,20.45454545,Interneuron
C10C5.4,PVT,80.0509678,11.36363636,Interneuron
B0454.6,PVW,247.6976201,15.2173913,Interneuron
fbxa-212,RIB,44.33695095,3.04,Interneuron
T20F5.8,RIC,5626.911419,86.47302905,Interneuron
F25D1.2,RIC,3582.748832,79.33609959,Interneuron
K01C8.1,RIC,738.2983485,35.02074689,Interneuron
Y54G2A.10,RID,52.60294528,9.865470852,Interneuron
C13A2.3,RIF,803.6679459,39.84375,Interneuron
K06H6.5,RIF,87.87587383,6.640625,Interneuron
C10G11.10,RIF,26.96968759,3.125,Interneuron
Y105C5A.1271,RIG,324.3857391,26.61668229,Interneuron
ZK105.13,RIH,39.87962415,5.737704918,Interneuron
F23H12.7,RIM,5267.433264,91.80509413,Motor
oct-1,RIM,1209.885176,64.34108527,Motor
fbxc-34,RIM,680.6724109,46.62236988,Motor
K02E7.6,RIM,99.60219474,9.634551495,Motor
oac-13,RIP,590.7564775,19.04761905,Interneuron
unc-130,RIR,214.2952935,7.975460123,Interneuron
F13E9.10,RIR,137.8176029,6.134969325,Interneuron
srx-9,RIS,357.8839055,44.64285714,Interneuron
ifd-1,RIS,234.6766373,37.5,Interneuron
folr-1,RIS,51.55743117,12.5,Interneuron
C11G6.2,RIS,12.18784225,5.357142857,Interneuron
ins-13,RME_DV,1578.794655,30.33707865,Motor
spe-27,RMF,1469.400335,51.71755725,Motor
clec-252,RMF,137.4804263,8.20610687,Motor
cyp-13A6,RMF,80.13111169,5.34351145,Motor
T04A6.2,RMG,54.2334431,8.695652174,Motor
sem-2,RMH,1175.320868,42.17391304,Motor
B0391.14,SAB,300.4725305,10.71428571,Motor
ttr-7,URB,390.0738213,31.42857143,Sensory
srd-17,URB,210.3762871,12.38095238,Sensory
F09C12.2,URX,96.36850076,14.08450704,Sensory
F35F11.3,URY,647.4410615,20.73170732,Sensory
gst-35,VA12,555.3585577,48.7804878,Motor
F56D6.8,VA12,147.9766814,12.19512195,Motor
C50D2.3,VA12,86.31237239,9.756097561,Motor
T12F5.2,VC_4_5,335.1164798,18.62745098,Motor
ref-1,VC_4_5,151.3793536,13.7254902,Motor
C28C12.11,VC_4_5,151.823007,11.76470588,Motor
unc-119,
